燃气,一,基础功能,
燃气,（一）,基础信息管理子系统,
燃气,1,燃气管网基础数据管理,
燃气,1.1,燃气管网基础数据档案,系统将建设范围内的燃气管线信息、管点信息、窨井基础进行汇聚，建立电子档案，支持用户在系统按燃气管线权属单位、所属区域等查询燃气管线基础信息，掌握燃气管网家底，为后续进行报警分析、应急处置等提供信息支撑。
燃气,1.2,燃气管网基础设施GIS一张图,基于测绘普查数据和GIS地理信息系统，实现建设范围内燃气管线、燃气管点、窨井的GIS一张图展示，做到燃气管网基础设施可视化管理，并支持燃气管网基础设施详细信息的查阅。
燃气,1.3,燃气管网维修记录,通过汇聚整合燃气管网历史维修记录，对具体管段的维修时间、维修地址、维修原因等信息做详细展示，为燃气管网风险评估、燃气泄漏抢险处置提供参考指导。
燃气,1.4,燃气管网基础数据统计分析,基于燃气管网空间数据、属性数据，从统计维度直观展现不同压力级别的燃气管线长度分布，铸铁管、钢管、PE管等不同管网材质的占比，不同管材管网的管龄分布，有助于行业监管单位进一步做到燃气底数清，为燃气安全监管提供数据支撑。
燃气,2,燃气场站基础数据管理,汇聚建设范围内的燃气场站信息，建立电子档案，用于查询场站基础信息，直观掌握各燃气场站基本详情，了解场站信息和位置分布，为场站风险评估和监测预警提供依据，同时支持在地图上定位某个燃气场站的位置以便结合地理信息系统进行综合查阅。
燃气,3,燃气危险源信息管理,燃气管网周边的危险源作为承灾载体的重要部分，在燃气泄漏燃爆事故后，需严防次生灾害。危险源主要包括加油站、加气站、危险化学品生产企业等，精准的获取各类危险源信息，一方面为事前的燃气管网风险评估、隐患排查提供基础数据；同时，为事中能准确的监测预警分级提供数据支撑。通过汇聚燃气管网周边的危险源信息，建立电子档案，形成统一规范的清单，同时支持在地图上定位危险源位置以便结合地理信息系统进行综合查阅。
燃气,4,燃气防护目标信息管理,燃气管网周边的防护目标作为承灾载体的重要部分，在燃气泄漏燃爆事故后，需严防次生灾害。防护目标主要包括交通枢纽、通信枢纽、桥梁、政务中心、学校，以及公共聚集场所中的宾馆饭店、商场超市、体育场馆、娱乐场所等。精准的获取各类防护目标信息，一方面为事前的燃气管网风险评估、隐患排查提供基础数据；同时，为事中能准确的监测预警分级提供数据支撑。通过汇聚燃气管网周边的防护目标信息，建立电子档案，形成统一规范的清单，同时支持在地图上定位防护目标位置以便结合地理信息系统进行综合查阅。
燃气,5,燃气管网监测设备管理,
燃气,5.1,监测设备台账,汇聚展示在用和已用的燃气设备信息，建立电子档案，动态掌握监测设备的基本信息、所在测点及位置、运维状态以及设备历史安装信息，同时支持在地图上定位监测设备位置以便结合地理信息系统进行综合查阅。
燃气,5.2,监测设备运行管理,汇聚展示在役燃气设备的运行信息，包括设备对应的监测点位信息、设备运行状态、监测指标数值、监测时间等数据，查看设备详细信息以及运行指标，确保实现对燃气管网安全运行在线实时监测；按照多维度动态查询、统计分析设备的在线情况，并支持在地图上定位监测设备位置以便结合地理信息系统进行综合查阅。
燃气,5.3,监测设备异常管理,汇聚展示异常设备信息，用于查询和处理运行异常的设备。支持查看设备运行参数、异常记录、维修记录等信息，对经复核确认为设备异常的信息，支持维修派单，查看设备运维处置进展。
燃气,5.4,监测设备GIS一张图,基于测绘普查数据和GIS地理信息系统，实现建设范围内监测设备GIS一张图展示，做到监测设备可视化管理，支持查看监测设备详细信息。
燃气,6,监测对象测点管理,为满足对监测点位的信息管理，了解监测地下空间信息，充分掌握各种地下空间分布情况，摸清家底，同时测点管理也可保障监测区域内的监测数据连续性。支持依据阈值设置来自动触发报警，不同测点设置科学合理的报警阈值。测点信息包括测点所在的地下空间信息、测点状态、报警阈值信息等。
燃气,（二）,动态监测与报警子系统,
燃气,1,燃气实时监测,
燃气,1.1,相邻地下空间可燃气体浓度监测,对燃气管网相邻地下空间甲烷气体浓度，监测点位及监测设备安装运行等数据进行集成处理，实时感知燃气安全运行状态，掌握测点设备安装信息及周边运行环境，当监测数据出现异常或超阈值情况时启动报警，提升风险监测精准性、监测报警的及时性和准确性。支持在地图上对监测的燃气管网相邻地下空间位置定位，以便结合地理信息系统进行综合查阅。
燃气,1.2,燃气管网振动监测,对燃气管网及周边的施工振动情况进行监测，集中对数据进行处理，滤除杂波与误报警数据，实时感知燃气管网安全运行状态，全面掌握城市燃气管网风险态势。
燃气,1.3,实时监测一张图,系统基于GIS地理信息系统建立燃气安全实时监测一张图，将燃气管网相邻地下空间监测、管网振动监测等进行分类图层展示，形成动态监测态势。对被监测对象进行标识，展示其地理位置、监测数据等信息。
燃气,2,燃气安全监测报警,
燃气,2.1,相邻地下空间可燃气体浓度报警,当相邻地下空间可燃气体浓度变化异常时，系统自动进行报警提醒，提示报警位置、报警级别、实时浓度值等数据，辅助分析人员进行综合研判，及时排除误报警。当分析为真实报警后，审核生成燃气管线泄漏预警，进入预警处置流程。支持在地图上定位报警的燃气管网相邻地下空间位置以便结合地理信息系统进行综合查阅。
燃气,2.2,振动监测报警,当管网振动频率异常时，自动进行报警提醒，提示报警位置、报警时间、报警地址等数据，支持报警详情中查看监测记录、振动频谱，辅助分析人员进行综合研判，及时排除误报警。
燃气,2.3,燃气监测报警一张图,系统基于GIS地理信息系统建立燃气安全监测报警一张图，将燃气管网相邻地下空间可燃气体浓度报警、管网振动监测报警等进行分图层综合汇聚展示，形成燃气监测报警态势。对被监测对象进行标识，展示其地理位置、监测数据等，以不同图标及颜色表示不同报警及级别，动态展示重要报警信息。
燃气,3,燃沼辨识分析,系统支持对燃气监测报警信息进行燃沼辨识分析，通过燃气和沼气的多个维度的特征对比分析，并给出燃气泄漏报警的属于燃气泄漏或者沼气聚集的综合辨识结果，提高甲烷报警燃气泄漏事件的检出率，减少误报，帮助监管部门更准确地区分燃气泄漏和沼气聚集情况。
燃气,4,燃气管网泄漏预警,
燃气,4.1,燃气管网泄漏预警清单,系统对报警审核后生成的预警信息，汇聚形成台账清单，可实时查看预警相关信息，实施差异化、精准化动态监管，全面提升燃气安全防控能力。
燃气,4.2,燃气管网泄漏预警详情,实时展示燃气管网泄漏预警的详细信息，包括预警基本信息、预警分析信息、关联报警、预警处置流程等，为现场处置提供了参考依据。支持对燃气泄漏预警从发布到预警解除全流程环节记录进行查看，支持查看各个环节的时间、处理人、处理意见等，跟进预警处置进展，预防燃气安全事故的发生，并为查询追溯事件过程提供支持。
燃气,5,沼气聚集预警,
燃气,5.1,沼气聚集预警清单,结合超限报警及人工审核判断，将筛查出的沼气预警信息进行集中汇聚展示，进行重点关注，督促权属单位及时进行现场清淤，预防沼气集聚爆炸事故发生。
燃气,5.2,沼气聚集预警详情,系统提供对沼气聚集的预警事件查阅的能力，查看沼气聚集预警的详细信息，包括预警基本信息、预警分析记录、预警审核记录和历史预警信息等，为现场处置提供了参考依据。
燃气,7,预警联动处置,
燃气,7.1,预警信息发布,监测中心人员对已生成的预警信息查看无误后进行发布，预警信息发布时可选择具体的预警权属单位、处置人员、批示领导及短信推送人员。
燃气,7.2,预警升级,在预警处置过程中若发现预警事件的危害程度发生升级，监测中心人员可在系统中可对相应的预警级别进行调整，并详细说明升级原因，相关响应处置流程也会随之进行调整。
燃气,7.3,预警解除,监测中心根据事件现场处置人员反馈的预警处置结果，专业分析人员对预警信息处置结果核查无误后，可解除预警，形成发现问题到处置问题的闭环管理。
燃气,7.4,案例生成,对于已解除的预警事件可生成案例，生成案例标签定义及附件上传，生成案例后自动转入到知识库管理中，便于后续发生类似事件后指导相关人员处置，提升处置效率。
燃气,7.5,预警信息查询,对于城市燃气预警信息，相关人员可通过预警的编号、预警的名称等预警关键词信息，查询到某条预警的信息，针对某条预警信息可以进行详情查看。
燃气,7.6,预警处置,当发生预警时，城市管理人员可及时知晓预警信息，快速做出处置批示、掌握处置过程和处置结果；现场处置人员可快速定位警情，根据规划路线赶赴现场，结合批示进行现场处置，完成后反馈处置结果。包括警情接收、路线规划、处置批示、处置反馈、警情关注等。
燃气,8,燃气安全预警GIS一张图,系统基于GIS地理信息系统建立燃气安全预警一张图，将燃气管网泄漏预警、沼气预警事件等进行分图层综合汇聚展示，形成燃气监测预警态势一张图。通过一张图可对预警位置周边空间监测数据进行对比分析，为预警的综合分析提供可视化图窗。
燃气,（三）,风险评估子系统,
燃气,1,燃气管网风险评估,
燃气,1.1,燃气管网风险评估清单,基于风险评估模型对每一工艺单元（管网）的分析结果，对风险等级进行划分，建立电子档案，为行业监管单位做好风险分级防控提供依据，推动安全监管的关口前移。此外，支持按照权属单位、所属区域、风险等级等维度进行查询风险分布情况，为压实部门监管责任、属地管理责任、企业主体责任提供了抓手。
燃气,1.2,燃气管网风险详情,为帮助行业监管单位清晰地了解每一工艺单元（管网）的风险构成要素和成因，整合汇聚了燃气管网基础信息（管材、埋设年代等），分析评估结果（风险等级、指标分析等），明确的展示出燃气管网风险详细信息，便于行业监管单位针对性的采取相应的风险防控措施。能快速在燃气管网数字地图上定位某段经过风险评估的燃气管线位置，结合地理信息系统进行综合查阅、研判分析。
燃气,1.3,管线风险评估四色图,按照紧急程度、发展态势和可能造成的危害程度，将燃气管网安全风险由高至低分为重大风险、较大风险、一般风险和低风险四个等级，在GIS地图上依次用红、橙、黄、蓝四种颜色进行渲染标识，绘制燃气管网风险四色图，直观呈现燃气管网风险分布，支持在GIS图上查看燃气管网风险详情，并能查看周围地上危险源及防护目标分布情况，辅助监管单位制定针对性的风险防控措施，确保燃气管网运行安全。
燃气,3,风险统计分析,
